id,nationality,task,role,affiliation-1,affiliation-2,status,targeted,time-1,time-2,time-3
N001,Italian,Buyer,Distribution,Jerinò-D'Agostino,Ndrangheta,Medium,1,1,1,1
N002,Italian,Trafficker,Importation,Pesce-Bellocco,Ndrangheta,High,1,1,1,1
N003,Italian,Trafficker,Importation,Pesce-Bellocco,Ndrangheta,High,1,1,0,0
N004,Italian,Supplier,Supply,Serraino-Di Giovine,Ndrangheta,High,1,1,1,1
N005,Moroccan,Buyer,Distribution,Moroccan clan,Moroccan clan,High,1,1,1,1
N006,Italian,Support,Importation,Serraino-Di Giovine,Ndrangheta,Medium,1,1,1,0
N007,Italian,Support,Importation,Serraino-Di Giovine,Ndrangheta,Medium,1,1,1,1
N008,Moroccan,Courier,Importation,No affiliation,No affiliation,Low,0,1,0,0
N009,Italian,Supplier,Supply,No affiliation,No affiliation,Medium,0,1,1,0
N010,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,0
N011,Romanian,Support,Supply,Romanian clan,Romanian clan,Medium,1,1,0,0
N012,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,0
N013,Italian,Trafficker,Importation,Jerinò-D'Agostino,Ndrangheta,Medium,1,1,1,1
N014,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,0
N015,Italian,Support,Importation,Pesce-Bellocco,Ndrangheta,Medium,1,1,0,1
N016,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,1
N017,Italian,Courier,Importation,No affiliation,No affiliation,Low,1,1,0,0
N018,Italian,Support,Importation,Pesce-Bellocco,Ndrangheta,Medium,1,1,1,0
N020,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,0,0
N021,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,1,0
N022,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Low,0,1,0,0
N023,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,0
N024,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Low,0,1,0,0
N025,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Low,0,1,0,0
N026,Italian,Courier,Importation,No affiliation,No affiliation,Low,1,1,0,0
N027,Italian,Trafficker,Importation,Pesce-Bellocco,Ndrangheta,Medium,1,1,1,0
N028,Italian,Support,Importation,No affiliation,No affiliation,Low,1,1,0,0
N029,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,1,1,1,1
N030,Italian,Support,Importation,No affiliation,No affiliation,Low,0,1,0,1
N031,Italian,Trafficker,Importation,Da Ponte-Cannizzaro,Ndrangheta,Medium,1,1,1,1
N033,Italian,Supplier,Supply,No affiliation,No affiliation,Medium,1,1,1,1
N035,Italian,Trafficker,Importation,Da Ponte-Cannizzaro,Ndrangheta,Medium,1,1,1,1
N036,Italian,Support,Importation,No affiliation,No affiliation,Low,0,1,0,0
N037,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Low,0,1,0,1
N038,Italian,Trafficker,Importation,No affiliation,No affiliation,Medium,1,1,1,0
N039,Moroccan,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,0,1
N040,Italian,Trafficker,Importation,Da Ponte-Cannizzaro,Ndrangheta,Medium,1,1,1,1
N041,Italian,Buyer,Distribution,Da Ponte-Cannizzaro,Ndrangheta,High,1,1,1,1
N042,Italian,Support,Distribution,No affiliation,No affiliation,Low,1,1,0,0
N043,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,1,0
N044,Italian,Support,Importation,No affiliation,No affiliation,Low,0,1,0,0
N045,Spanish,Supplier,Supply,No affiliation,No affiliation,Medium,0,1,0,0
N046,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,1,1,0,0
N047,Italian,Trafficker,Importation,No affiliation,No affiliation,Medium,1,1,1,0
N048,Italian,Support,Importation,Romanian clan,Romanian clan,Low,1,1,0,0
N049,Romanian,Supplier,Supply,No affiliation,No affiliation,High,1,1,0,0
N050,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Medium,0,1,0,0
N052,Italian,Courier,Importation,No affiliation,No affiliation,Low,1,1,0,0
N053,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,0,0
N054,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,1,1,0,0
N055,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,1,1,1,0
N056,Unknown,Supplier,Supply,No affiliation,No affiliation,Medium,0,1,0,0
N057,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,1,1,0,0
N058,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Medium,0,1,1,0
N059,Italian,Buyer,Distribution,No affiliation,No affiliation,Medium,0,1,0,0
N060,Moroccan,Trafficker,Importation,Moroccan clan,Moroccan clan,Medium,1,1,1,1
N061,Moroccan,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Low,0,1,1,0
N062,Moroccan,Courier,Importation,Moroccan clan,Moroccan clan,Low,0,1,1,1
N063,Moroccan,Trafficker,Importation,Moroccan clan,Moroccan clan,Medium,1,1,1,1
N064,Moroccan,Support,Importation,Moroccan clan,Moroccan clan,Low,1,1,1,0
N096,Italian,Unknown,Unknown/Peripheral involvement,No affiliation,No affiliation,Medium,0,1,0,1
N114,Romanian,Support,Supply,Romanian clan,Romanian clan,Medium,1,1,0,0
N115,Moroccan,Courier,Importation,Moroccan clan,Moroccan clan,Low,1,1,0,0
